% Model,UnitSquare_Source.mph
% Version,COMSOL 5.3.0.223
% Date,"Jun 28 2019, 21:02"
% Dimension,1
% Nodes,115
% Expressions,1
% Description,Line graph
% cln1x,Height
0,-2.9015291605678226
0.04115783092522519,-2.946546434506317
0.06403601564302817,-2.964651965971326
0.084296092007088,-3.026331813514268
0.10594374619536845,-3.075075207730345
0.13009623745222867,-3.1763453836921802
0.14044180081221316,-3.2199967614198
0.15197416227233984,-3.2974397665049775
0.17595323052143175,-3.425579859234282
0.18936656324857276,-3.5241511589875096
0.20177387727265086,-3.638254738594048
0.21332789133858027,-3.7554660292213735
0.21357364376290508,-3.758705598914629
0.21416508796890737,-3.766328175739802
0.22299453143750053,-3.868239544169224
0.22738859777353765,-3.920724079857372
0.23079791617232517,-3.9726184272572564
0.23603875071382277,-4.046726425683591
0.2371299860207541,-4.059889594425431
0.23793883879652736,-4.067561671568406
0.24322508658138925,-4.140404234238175
0.248,-4.17357058227325
0.252,-4.163736093409532
0.25685095427011795,-4.109863562961356
0.2607614155335145,-4.036398722510147
0.26098042435141183,-4.033542588609375
0.2672127733429263,-3.915774345464921
0.26777482486413645,-3.9079524635280602
0.26864751656951935,-3.8940126905036787
0.2756155904373599,-3.766639792930885
0.2826192825698916,-3.6469251793929005
0.2840439574124108,-3.6256917120439605
0.2882043569029078,-3.564358006510662
0.2947535385688858,-3.4640395664859476
0.2962638365554064,-3.4391025688264616
0.30881078235578463,-3.2710974657118896
0.31244251108113896,-3.217447053975463
0.3339939992855275,-2.9676911931095002
0.336624942745711,-2.9333952273017445
0.3491398312926651,-2.8077847501196613
0.3704655419142056,-2.5886385638529426
0.37617172561326906,-2.5452185160748644
0.41052075770935903,-2.221764866021907
0.43469468290808266,-2.042724404607709
0.4532687248880347,-1.888378797464296
0.47708497915935477,-1.7200176068112025
0.5014480202207569,-1.5330307980726725
0.5291252085408058,-1.345888683042646
0.5466009537220325,-1.214050580269073
0.5696075032366554,-1.037922625982133
0.5897230971681592,-0.8977814868004771
0.6223347246729406,-0.6221923050564497
0.627181125522582,-0.5849843247576498
0.6407699452797178,-0.44772493970775473
0.6640058889214789,-0.226525586549423
0.6703569574166777,-0.1489671155617987
0.6877124557025622,0.08037544476047291
0.68952649452123,0.10243048909350835
0.6906768745867637,0.12073878998106662
0.704697530554034,0.3444389400253981
0.7116670098336483,0.48303611533729707
0.7130540365237313,0.5117297633044854
0.7153561805232777,0.5671895204388687
0.7201555975708301,0.6757967058247507
0.7234693486006679,0.7639970553697408
0.7248120689633555,0.8003606673487554
0.7256245669249966,0.826090814671129
0.7296246771406606,0.9443967360901367
0.7307711218179046,0.9861269710590537
0.7345439279721985,1.1152325868486601
0.7350704802971844,1.137706701826392
0.7389255665988279,1.2830109977109263
0.73958065841129,1.314841951670246
0.7410839611075113,1.3762548154514398
0.7427498948911955,1.4395353138925882
0.7435181730451665,1.4616720538849648
0.7456758505836769,1.550962752031706
0.7470061427515021,1.5779570948307695
0.7491871927394714,1.616494250822181
0.7503917295668258,1.6243235064266344
0.7521963467630683,1.6015354500319774
0.7533362384028022,1.5917043318074229
0.7545877392219198,1.547872617473832
0.7567609135744412,1.4989432596456822
0.7590771069345157,1.4184704287981527
0.7603394124516569,1.371004820003576
0.7610749552177684,1.337358573826218
0.763325204387304,1.2621873368033594
0.7657286422249431,1.1849180217910147
0.7663410174147897,1.161146913416586
0.7698066144442862,1.0611778245650854
0.7701013770565287,1.0513016334415854
0.7745373276215147,0.9366082819727656
0.7750333499844353,0.9229805076992647
0.7794344427859103,0.8273571354121325
0.7801347237979396,0.8113002512402161
0.7860680506750722,0.7019577985663756
0.7862279900593043,0.6988727763965884
0.7870541180514554,0.685869865759676
0.7921558678577907,0.6040972704200495
0.7931712779122922,0.5917461918071127
0.7997105665105142,0.500581247830427
0.8140007103513656,0.3586249509050991
0.8158307371589708,0.3407795695820089
0.817265876666065,0.33099613684939355
0.8326901128374138,0.2059491458991194
0.8487985832856835,0.12016248511539783
0.8571757089347944,0.07190846756840838
0.8763835059773,0.0030255299659040745
0.885487684370558,-0.03329146500313289
0.9174795671919336,-0.0995130869664617
0.9342223928363121,-0.13702284906623785
0.9359001938518329,-0.14051283696271977
0.9397001780280749,-0.14228311403788835
1,-0.19700229326961416
